Button A: X+57, Y+16
Button B: X+20, Y+74
Prize: X=3288, Y=1772

Button A: X+60, Y+17
Button B: X+18, Y+40
Prize: X=12452, Y=2246

Button A: X+53, Y+30
Button B: X+12, Y+48
Prize: X=10554, Y=7484

Button A: X+94, Y+41
Button B: X+16, Y+34
Prize: X=5960, Y=3140

Button A: X+51, Y+15
Button B: X+16, Y+53
Prize: X=15646, Y=8526

Button A: X+15, Y+44
Button B: X+55, Y+34
Prize: X=14665, Y=15766

Button A: X+61, Y+16
Button B: X+17, Y+39
Prize: X=15223, Y=18028

Button A: X+39, Y+24
Button B: X+13, Y+42
Prize: X=17748, Y=10592

Button A: X+61, Y+26
Button B: X+28, Y+69
Prize: X=15037, Y=4719

Button A: X+14, Y+59
Button B: X+55, Y+19
Prize: X=15659, Y=19538

Button A: X+58, Y+20
Button B: X+16, Y+37
Prize: X=6210, Y=4660

Button A: X+24, Y+46
Button B: X+49, Y+16
Prize: X=3921, Y=4284

Button A: X+83, Y+62
Button B: X+31, Y+88
Prize: X=9119, Y=12518

Button A: X+83, Y+44
Button B: X+31, Y+54
Prize: X=5857, Y=4570

Button A: X+46, Y+32
Button B: X+32, Y+96
Prize: X=5332, Y=6880

Button A: X+55, Y+28
Button B: X+30, Y+50
Prize: X=9175, Y=12224

Button A: X+62, Y+35
Button B: X+11, Y+34
Prize: X=19628, Y=9357

Button A: X+37, Y+55
Button B: X+50, Y+11
Prize: X=6401, Y=4829

Button A: X+45, Y+77
Button B: X+36, Y+12
Prize: X=9323, Y=14923

Button A: X+31, Y+89
Button B: X+92, Y+26
Prize: X=8931, Y=4209

Button A: X+24, Y+45
Button B: X+57, Y+32
Prize: X=10244, Y=13383

Button A: X+33, Y+23
Button B: X+34, Y+84
Prize: X=3431, Y=4321

Button A: X+54, Y+20
Button B: X+23, Y+47
Prize: X=13618, Y=11332

Button A: X+48, Y+21
Button B: X+18, Y+55
Prize: X=2684, Y=15337

Button A: X+72, Y+31
Button B: X+17, Y+30
Prize: X=6191, Y=3913

Button A: X+31, Y+53
Button B: X+58, Y+31
Prize: X=5857, Y=17657

Button A: X+37, Y+94
Button B: X+76, Y+58
Prize: X=6250, Y=8584

Button A: X+54, Y+18
Button B: X+27, Y+67
Prize: X=18890, Y=13858

Button A: X+47, Y+95
Button B: X+98, Y+33
Prize: X=4349, Y=5819

Button A: X+56, Y+28
Button B: X+27, Y+94
Prize: X=6057, Y=9066

Button A: X+21, Y+59
Button B: X+86, Y+32
Prize: X=2417, Y=2179

Button A: X+67, Y+96
Button B: X+55, Y+16
Prize: X=2626, Y=1376

Button A: X+72, Y+13
Button B: X+17, Y+78
Prize: X=15058, Y=14927

Button A: X+43, Y+39
Button B: X+16, Y+95
Prize: X=4648, Y=12023

Button A: X+36, Y+13
Button B: X+23, Y+36
Prize: X=9934, Y=8941

Button A: X+55, Y+14
Button B: X+18, Y+70
Prize: X=5711, Y=1306

Button A: X+85, Y+31
Button B: X+44, Y+73
Prize: X=9481, Y=6818

Button A: X+71, Y+37
Button B: X+15, Y+53
Prize: X=13491, Y=15729

Button A: X+21, Y+66
Button B: X+31, Y+11
Prize: X=2836, Y=1826

Button A: X+27, Y+53
Button B: X+60, Y+24
Prize: X=10451, Y=225

Button A: X+44, Y+31
Button B: X+13, Y+32
Prize: X=18546, Y=19534

Button A: X+16, Y+48
Button B: X+44, Y+38
Prize: X=1220, Y=2250

Button A: X+17, Y+57
Button B: X+78, Y+66
Prize: X=7040, Y=8940

Button A: X+13, Y+38
Button B: X+30, Y+19
Prize: X=4083, Y=9658

Button A: X+11, Y+29
Button B: X+78, Y+44
Prize: X=19500, Y=4346

Button A: X+14, Y+90
Button B: X+88, Y+16
Prize: X=4654, Y=4082

Button A: X+84, Y+19
Button B: X+18, Y+86
Prize: X=2748, Y=8159

Button A: X+17, Y+57
Button B: X+68, Y+13
Prize: X=992, Y=6337

Button A: X+72, Y+35
Button B: X+13, Y+47
Prize: X=7519, Y=3887

Button A: X+95, Y+11
Button B: X+19, Y+41
